frame,frame_total,update,physics,collision,enemy_manager,ai,render,render_tiles,render_particles,render_hazards,render_pickups,render_portals,render_enemies,render_npcs,render_player,render_companions,render_projectiles,render_hud,present,fps_instantaneous
51,13.5669,3.2602,0.0029,0.2931,0.0076,0.0,10.0283,7.9278,0.0028,0.0026,0.4953,0.0876,0.0037,0.034,0.0342,0.0621,0.001,1.2231,0.0006,73.71
52,11.1575,3.3006,0.0042,0.2963,0.0073,0.0,7.5906,5.537,0.0023,0.0027,0.5371,0.0866,0.0033,0.0326,0.0331,0.0595,0.0008,1.1412,0.0004,89.63
53,11.0569,3.4705,0.0035,0.5249,0.0079,0.0,7.3023,5.3479,0.0024,0.0025,0.4971,0.0865,0.0029,0.0331,0.0322,0.0647,0.0011,1.0742,0.0005,90.44
54,11.6142,3.9146,0.0034,0.3404,0.0073,0.0,7.4226,5.2226,0.0025,0.0022,0.5012,0.0833,0.0031,0.0326,0.0322,0.1581,0.0022,1.2266,0.0005,86.1
55,11.5434,3.4722,0.0029,0.2938,0.0069,0.0,7.8086,5.3656,0.0026,0.0027,0.7965,0.0899,0.0035,0.0339,0.0342,0.0611,0.0008,1.2493,0.0005,86.63
56,10.7767,3.3082,0.0025,0.2884,0.0101,0.0,7.1741,5.2148,0.0019,0.0024,0.577,0.084,0.0033,0.031,0.0326,0.0617,0.0007,1.0163,0.0005,92.79
57,10.9598,3.4867,0.002,0.4259,0.0094,0.0,7.1991,5.2973,0.0021,0.002,0.5029,0.0832,0.0032,0.0318,0.031,0.0589,0.001,1.0398,0.0004,91.24
58,11.0317,3.207,0.0032,0.3066,0.0071,0.0,7.5498,5.4106,0.0024,0.0077,0.539,0.086,0.0035,0.034,0.0323,0.0605,0.0008,1.2227,0.0006,90.65
59,10.7199,3.2198,0.0028,0.2976,0.0069,0.0,7.2195,5.2651,0.002,0.002,0.4895,0.0857,0.003,0.0309,0.0319,0.0648,0.0012,1.0991,0.0006,93.28
60,10.4381,3.175,0.002,0.3018,0.0069,0.0,7.0062,5.1578,0.002,0.002,0.4804,0.0839,0.0028,0.0301,0.03,0.0579,0.0008,1.0192,0.0003,95.8
61,10.5533,3.2044,0.0025,0.4398,0.0074,0.0,7.0955,5.1684,0.0023,0.0025,0.5023,0.0864,0.0032,0.0329,0.0319,0.0655,0.0011,1.0487,0.0006,94.76
62,10.6889,3.396,0.0034,0.2938,0.0063,0.0,7.0059,5.1099,0.0023,0.0019,0.4873,0.0833,0.0023,0.0306,0.0323,0.0596,0.0007,1.0492,0.0005,93.55
63,10.9628,3.3353,0.0031,0.2988,0.0067,0.0,7.3459,5.3744,0.0027,0.0026,0.5015,0.0947,0.0034,0.0338,0.0342,0.0612,0.0009,1.0871,0.0008,91.22
64,10.8586,3.3004,0.003,0.295,0.0071,0.0,7.2884,5.3854,0.0021,0.0024,0.5091,0.0852,0.0032,0.0334,0.0315,0.059,0.001,1.0299,0.0006,92.09
65,10.8656,3.3646,0.0033,0.2936,0.0072,0.0,7.2366,5.3333,0.0027,0.0024,0.4882,0.0848,0.003,0.0315,0.0315,0.0648,0.0009,1.0473,0.0004,92.03
66,10.8047,3.2875,0.0024,0.293,0.0079,0.0,7.2403,5.2185,0.002,0.0024,0.4947,0.0846,0.0034,0.0313,0.0314,0.0589,0.0009,1.16,0.0005,92.55
67,10.7164,3.1932,0.0033,0.2965,0.0075,0.0,7.2544,5.2221,0.0025,0.0024,0.5812,0.0905,0.0038,0.0338,0.0345,0.0599,0.001,1.0687,0.0005,93.31
68,10.8947,3.364,0.0037,0.2954,0.0072,0.0,7.2591,5.2183,0.0024,0.0025,0.532,0.0875,0.0035,0.0313,0.0324,0.0644,0.0009,1.13,0.0005,91.79
69,11.3114,3.3019,0.0035,0.3102,0.0074,0.0,7.7321,5.2086,0.0026,0.003,0.8,0.1061,0.0039,0.0369,0.0341,0.0768,0.0011,1.2693,0.0005,88.41
70,10.8335,3.1286,0.0028,0.2922,0.0068,0.0,7.4386,5.5225,0.0028,0.0025,0.5068,0.0868,0.0032,0.0323,0.0318,0.0569,0.001,1.0388,0.0005,92.31
71,11.0751,3.3127,0.0036,0.2982,0.0072,0.0,7.4607,5.4369,0.0034,0.0023,0.5103,0.0887,0.0042,0.0361,0.0368,0.0661,0.0013,1.124,0.0005,90.29
72,10.8564,3.2905,0.0028,0.2999,0.007,0.0,7.244,5.254,0.0024,0.0023,0.5481,0.0856,0.0032,0.033,0.0321,0.0588,0.0009,1.0307,0.0005,92.11
73,10.6368,3.3846,0.0039,0.2979,0.0069,0.0,6.9896,5.0943,0.0021,0.0019,0.4927,0.0824,0.0024,0.0301,0.0301,0.055,0.0009,1.0494,0.0006,94.01
74,11.2602,3.5472,0.0027,0.2889,0.0072,0.0,7.4452,5.4012,0.0023,0.0023,0.5492,0.0872,0.0035,0.0328,0.0319,0.0625,0.0009,1.1224,0.0004,88.81
75,12.4023,4.0039,0.0044,0.2985,0.0082,0.0,8.1019,5.9488,0.0027,0.0033,0.6312,0.0928,0.0039,0.0354,0.0363,0.0664,0.0011,1.1144,0.0005,80.63
76,10.9925,3.3269,0.0043,0.3059,0.0079,0.0,7.3538,5.3648,0.0026,0.003,0.496,0.0859,0.0035,0.0333,0.0328,0.0626,0.0012,1.1156,0.0005,90.97
77,11.0396,3.4588,0.004,0.2994,0.0072,0.0,7.2981,5.3513,0.0024,0.0025,0.4968,0.0842,0.0029,0.0324,0.0325,0.0626,0.001,1.0684,0.0006,90.58
78,10.5923,3.2379,0.0027,0.2893,0.0069,0.0,7.0763,5.1159,0.0023,0.0023,0.4891,0.0842,0.0028,0.0316,0.031,0.0591,0.0009,1.1121,0.0005,94.41
79,10.7846,3.3108,0.0029,0.3459,0.0066,0.0,7.2069,5.2086,0.0028,0.0022,0.5095,0.0844,0.0033,0.0661,0.037,0.0749,0.0015,1.0671,0.0005,92.72
80,11.7058,3.3461,0.0031,0.3957,0.0071,0.0,8.093,5.5471,0.0027,0.0028,0.7639,0.1068,0.0043,0.0424,0.0404,0.0921,0.0009,1.3328,0.0004,85.43
81,10.7716,3.2314,0.0034,0.2907,0.0071,0.0,7.2502,5.1462,0.0018,0.0021,0.4911,0.0841,0.003,0.0337,0.0324,0.0585,0.0008,1.2435,0.0005,92.84
82,13.6376,3.1184,0.0024,0.2912,0.0082,0.0,10.2519,7.9982,0.0032,0.0038,0.7081,0.0886,0.0032,0.0323,0.0343,0.06,0.0009,1.1663,0.0006,73.33
83,11.4099,3.4105,0.004,0.2993,0.0072,0.0,7.736,5.7605,0.0027,0.0025,0.5026,0.0998,0.0035,0.034,0.0344,0.0667,0.0013,1.0788,0.0004,87.64
84,11.6048,3.5223,0.0036,0.2992,0.0076,0.0,7.8078,5.8795,0.0026,0.0026,0.4907,0.0839,0.0032,0.0323,0.0324,0.0603,0.0008,1.0657,0.0005,86.17
85,11.3758,3.5691,0.0027,0.3024,0.0067,0.0,7.551,5.4398,0.0027,0.0023,0.5033,0.0933,0.0031,0.0349,0.034,0.0594,0.0008,1.2279,0.0006,87.91
86,12.085,3.2503,0.0033,0.2918,0.0074,0.0,8.5599,6.3267,0.0036,0.0033,0.6288,0.1051,0.0041,0.0366,0.0384,0.073,0.0011,1.1817,0.0007,82.75
87,11.1701,3.244,0.0029,0.2912,0.0067,0.0,7.6158,5.5447,0.0023,0.0024,0.5109,0.0877,0.0041,0.037,0.0337,0.059,0.0011,1.1054,0.0003,89.52
88,11.1253,3.5707,0.0042,0.2964,0.0075,0.0,7.2691,5.307,0.0025,0.0022,0.5065,0.0873,0.003,0.0328,0.0324,0.0555,0.001,1.0922,0.0007,89.89
89,12.6568,3.8622,0.0034,0.3174,0.0078,0.0,8.5117,6.5537,0.0027,0.003,0.5067,0.086,0.0032,0.0335,0.0356,0.0592,0.0008,1.0755,0.0005,79.01
90,11.5585,3.2803,0.0038,0.2949,0.008,0.0,7.8363,5.6511,0.0024,0.0024,0.4901,0.0853,0.0031,0.0328,0.0333,0.0606,0.0009,1.3072,0.0005,86.52
91,12.5021,4.1563,0.0042,0.4106,0.0105,0.0,8.0039,5.5692,0.0027,0.0031,0.5032,0.091,0.0035,0.0357,0.0361,0.0618,0.0177,1.4993,0.0006,79.99
92,10.9895,3.2048,0.0038,0.3024,0.0082,0.0,7.5024,5.3802,0.0029,0.0024,0.5072,0.0892,0.0032,0.0365,0.0358,0.1521,0.0019,1.1235,0.0007,91.0
